source_column,source_name,clean_name,label,question_en,question_ne,form_type,relevant
2,consent_agree,consent_agree,Consent to participate,"Do you understand the information I have provided, and do you agree to participate in this survey?",मैले दिएको जानकारी तपाईंले बुझ्नुभयो र यस सर्वेक्षणमा सहभागी हुन सहमत हुनुहुन्छ?,select_one yes_no,
3,screener,screener,Eligible: age 18-35 and student at sampled institution,Are you currently between the age of 18-35 and are a student at this college/university.,के तपाईं हाल १८–३५ वर्ष उमेर समूहमा पर्नुहुन्छ र यस कलेज/विश्वविद्यालयमा अध्ययनरत विद्यार्थी हुनुहुन्छ?,select_one screener,${consent_agree} = '1'
5,interview_date,interview_date,Interview date,Interview date,अन्तर्वार्ता मिति,date,
6,interview_time,interview_time,Interview time,Interview time,अन्तर्वार्ता समय,time,
7,Interviewer_Name,interviewer,Interviewer,Interviewer Name,गणकको  नाम ,select_one xq9zw28,
8,Province,province,Province (explicit codes follow supplied choice-list order),Province,प्रदेश ,select_one ar01j09,
9,local_government,local_government,Local government,Local Government,"गाउपलिका, नगरपालिका र  पालिका को नाम   ",text,
10,ward,ward,Ward number,Ward,वडा,text,
13,age,age,1.1 Age in completed years,1.1 What is your age?,१.१ हजुरको उमेर कति हो?,integer,
14,gender,gender,1.2 Gender,1.2 What is your Gender?,१.२ हजुरको लिंग के हो?,select_one gender,
15,gender_other,gender_other,"1.2 Gender: other, specified",Please specify,कृपया उल्लेख गर्नुहोस्,text,${gender} = '3'
16,education,education,1.3 Current education level and year,1.3 What is the highest level of education you are currently pursuing?,१.३ तपाईंले हाल अध्ययन गर्नु भएको  उच्चतम शैक्षिक तह कुन हो ?,select_one education,
17,edu_school,edu_school,1.3.1 SLC/SEE school: private or public,1.3.1 Did you attend a private or public school for your SLC/SEE education?,१.३.१ तपाईंले एसएलसी/एसईई तहमा निजी वा सरकारी/सार्वजनिक विद्यालयमध्ये कुनमा अध्ययन गर्नुभएको थियो?,select_one private_public,${education} != '-99'
18,edu_plus2,edu_plus2,1.3.2 Plus-two institution: private or public,1.3.2 Did you attend a private or public institution for your +2 education?,१.३.२ तपाईंले +२ तहमा निजी वा सरकारी/सार्वजनिक शैक्षिक संस्थामध्ये कुनमा अध्ययन गर्नुभएको थियो?,select_one private_public,${education} != '-99'
19,edu_bachelors,edu_bachelors,1.3.3 Bachelor's institution: private or public,1.3.3 Did you attend a private or public institution for your Bachelor's degree?,१.३.३ तपाईंले स्नातक तहमा निजी वा सरकारी/सार्वजनिक शैक्षिक संस्थामध्ये कुनमा अध्ययन गर्नुभएको थियो?,select_one private_public,${education} = '6' or ${education} = '7' or ${education} = '8'
20,edu_masters,edu_masters,1.3.4 Master's or higher institution: private or public,1.3.4 Did you attend a private or public institution for your Master's degree or above?,१.३.४ तपाईंले स्नातकोत्तर वा सोभन्दा माथिको तहमा निजी वा सरकारी/सार्वजनिक शैक्षिक संस्थामध्ये कुनमा अध्ययन गर्नुभएको थियो?,select_one private_public,${education} = '6' or ${education} = '8'
21,_1_4_What_is_your_caste_ethnicity,ethnicity,1.4 Caste/ethnicity,1.4 What is your caste/ethnicity?,१.४ तपाई को जात/जातियता के हो?,select_one cp3qw00,
22,religious_belief,religious_belief,1.5 Considers self a person with religious beliefs,1.5.  Do you consider yourself a person with religious beliefs?,१.५ आफूलाई धार्मिक आस्था भएको व्यक्ति मान्नुहुन्छ?,select_one yes_no_unsure,
23,_1_6_Which_religion_do_you_identify_with,religion,1.6 Religion,1.6 Which religion do you identify with?,१.६ तपाई को धर्म के हो ?,select_one hn9bp27,${religious_belief} = '1'
24,marital_status,marital_status,1.7 Marital status,1.7.  What is your marital status?,१.७ तपाईंको वैवाहिक अवस्था के हो?,select_one marital,
25,life_place,life_place,1.8 Urban/rural location of most of life,1.8.  Where have you spent most of your life in?,१.८ तपाईंले आफ्नो जीवनको अधिकांश समय कहाँ बिताउनुभएको छ?,select_one urban_rural,
26,family_abroad,family_abroad,1.9 Close family member has lived or lives abroad,1.9.  Have any of your close family member lived abroad or is currently living abroad?,१.९ तपाईंका नजिकका परिवारका कुनै सदस्य विदेशमा बस्नुभएको छ वा हाल विदेशमा बसिरहनुभएको छ?,select_one yes_no_pns,
27,family_returned,family_returned,1.9.1 Family member abroad returned permanently,1.9.1. Has he/she returned permanetly?,१.९.१ उहाँ सधै को लागि फर्केर आउनुभएको छ?,select_one yes_no_dk_pns,${family_abroad} = '1'
28,migration_plan,migration_plan,1.10 Plans to go abroad or stay in Nepal,1.10.  Are you planning to go abroad or stay in Nepal?,१.१० तपाईं विदेश जाने योजना बनाउँदै हुनुहुन्छ कि नेपालमै बस्ने?,select_one migration_plan,
29,abroad_purpose,abroad_purpose,1.10.1a Purpose of going abroad,1.10.1a.  Are you planning to study or work?,१.१०.१क  तपाईं अध्ययन गर्न जाने योजना बनाउँदै हुनुहुन्छ कि काम गर्न?,select_one abroad_purpose,${migration_plan} = '1'
30,nepal_plan,nepal_plan,1.10.1b Plans while staying in Nepal,"1.10.1b.  Are you planning to continue your study, seek a job or start your business?","१.१०.१ख तपाईं आफ्नो अध्ययनलाई निरन्तरता दिने, रोजगारी खोज्ने वा व्यवसाय सुरु गर्ने योजनामा हुनुहुन्छ?",select_one nepal_plan,${migration_plan} = '2'
33,q2_1,q2_1,2.1 Agreement: politics is central to living in Nepal,2.1. To what extent do you agree with the following statement? “Involvement on politics is central to living in Nepal”,२.१ तलका भनाइहरूसँग तपाईं कत्तिको सहमत हुनुहुन्छ? “नेपालमा जीवन बिताउन राजनीतिमा संलग्नता महत्वपूर्ण छ ।”,select_one agree5,
34,q2_2,q2_2,2.2 Frequency of following political news,2.2.  How often do you follow political news?,२.२ तपाईं राजनीतिक समाचार कत्तिको  हेर्नु वा पढ्नुहुन्छ?,select_one newsfreq,
35,q2_3,q2_3,2.3 Active involvement in politics/political organizations,2.3.  Have you been actively involved in politics/political organizations?,"२.३ के तपाईं राजनीतिमा वा राजनीतिक संस्थाहरूमा (जस्तै राजनीतिक दल, कलेज/विस्वविध्यालयको  संगठनहरु, दलको भात्री संगठन, टोल सुधार समिति हरु, युवा क्लभहरू)    सक्रिय रूपमा संलग्न हुनुभएको छ/हुनु हुन्छ ?",select_one yes_no_pns,
36,q2_4,q2_4,2.4 Voted in 2022 federal election,2.4.  Did you vote in the 2022 federal election? (Ask only for respondents above or equal to the age of 22),२.४ के तपाईंले २०७९ को प्रतिनिधिसभा निर्वाचनमा मतदान गर्नुभयो?,select_one vote,${age} >= 22
37,q2_4_1,q2_4_1,2.4.1 Reason for not voting: federal,2.4.1.  Why didn’t you vote?,२.४.१ तपाईंले किन मतदान गर्नुभएन?,select_one nonvote_reason,${q2_4} = '2'
38,Others_Please_Specify,q2_4_1_other,2.4.1 Other reason for not voting: federal,Others Please Specify,अरु कारण भए खुलाइदिनुहोला ,text,${q2_4_1} = 'others_please_specify'
39,q2_5,q2_5,2.5 Voted in 2022 provincial election,2.5.  Did you vote in the 2022 provincial election? (Ask only for respondents above or equal to the age of 22),२.५ के तपाईंले २०७९ को प्रदेशसभा निर्वाचनमा मतदान गर्नुभयो?,select_one vote,${age} >= 22 and ${q2_4} = '1'
40,q2_5_1,q2_5_1,2.5.1 Reason for not voting: provincial,2.5.1.  Why didn’t you vote?,२.५.१ तपाईंले किन मतदान गर्नुभएन?,select_one nonvote_reason,${q2_5} = '2'
